Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026,AI_Risk_Category,Salary_Level,Demand_Risk_Ratio
AIJ-101414,IoT Specialist,Education,UAE,PhD,4,0.59,0.53,No,122887,"SQL, Project Management, Python",Low,15,42,Enterprise,High,4.5,Yes,2.46,Growing,Medium,High,0.88
AIJ-102689,Cloud Architect,Transportation,Germany,High School,25,0.86,0.68,No,56115,"Kubernetes, Data Visualization, Communication, TensorFlow, Deep Learning, Docker",Medium,10,31,Enterprise,Moderate,3.54,No,2.85,Stable,High,Medium,0.78
AIJ-100277,Digital Marketer,Government,Germany,Bachelor,15,0.53,0.52,No,138381,"Leadership, Machine Learning, Project Management",Low,11,36,Enterprise,High,3.29,No,3.27,Stable,Medium,High,0.96
AIJ-100405,Healthcare Analyst,Government,Japan,PhD,12,0.76,0.93,Yes,70289,"TensorFlow, Project Management, Leadership, Docker, Python, Azure",Medium,-6,47,Medium,Low,3.42,No,3.28,Stable,High,Medium,1.21
AIJ-102861,Cloud Architect,Technology,UAE,Bachelor,4,0.65,0.34,No,215145,"Azure, Machine Learning, Python, Excel, Docker",Medium,13,49,Startup,Low,4.81,Yes,4.25,Declining,Medium,High,0.52
AIJ-102601,DevOps Engineer,Media,Germany,Bachelor,11,0.52,0.7,Yes,192118,"Leadership, Azure, Project Management, AWS, Communication",Medium,45,39,Startup,Low,3.87,Yes,4.75,Growing,Medium,High,1.32
AIJ-101922,Machine Learning Engineer,Government,UAE,High School,19,0.15,0.62,Hybrid,58348,"Docker, Cloud Computing, Python",High,7,31,Enterprise,High,4.64,No,1.99,Stable,Low,Medium,3.88
AIJ-101167,AI Engineer,Media,Japan,Master,11,0.57,0.45,Hybrid,187949,"Azure, Docker, Machine Learning, Data Visualization",High,38,52,Enterprise,Moderate,2.5,Yes,3.02,Growing,Medium,High,0.78
AIJ-100115,IoT Specialist,Retail,USA,High School,21,0.24,0.89,No,178579,"Docker, SQL, Deep Learning",High,26,51,Startup,Low,4.79,No,1.06,Declining,Low,High,3.56
AIJ-101554,IoT Specialist,Manufacturing,Australia,Bachelor,15,0.35,0.31,No,52162,"Communication, Project Management, TensorFlow, Prompt Engineering, Docker",Low,22,30,Startup,Low,3.24,Yes,3.59,Stable,Medium,Medium,0.86
AIJ-102841,Prompt Engineer,Finance,Canada,PhD,9,0.66,0.42,Yes,160721,"Deep Learning, Cloud Computing, Leadership, PyTorch",High,-9,56,Enterprise,Low,3.36,Yes,2.19,Stable,Medium,High,0.63
AIJ-100256,HR Specialist,Finance,Pakistan,High School,17,0.95,0.97,Hybrid,68050,"Cybersecurity, Project Management, Kubernetes, Prompt Engineering",High,-3,35,Medium,Low,4.18,No,4.52,Stable,High,Medium,1.01
AIJ-100842,Prompt Engineer,Media,UK,Master,0,0.31,0.82,Hybrid,209055,"Project Management, Data Visualization, Cloud Computing, SQL",High,10,34,Startup,High,2.86,Yes,1.07,Growing,Medium,High,2.56
AIJ-101283,Digital Marketer,Transportation,India,PhD,3,0.81,0.53,Yes,82375,"SQL, PyTorch, Cybersecurity, Deep Learning, Machine Learning, Communication",Low,32,40,Medium,Moderate,4.89,Yes,4.04,Stable,High,Medium,0.65
AIJ-102074,Digital Marketer,Energy,Pakistan,PhD,4,0.44,0.26,Hybrid,99383,"TensorFlow, Machine Learning, Azure, Leadership, Python, PyTorch",Low,28,53,Enterprise,Moderate,3.17,Yes,3.73,Stable,Medium,Medium,0.58
AIJ-100082,Healthcare Analyst,Manufacturing,Canada,Master,9,0.21,0.76,Yes,53013,"Cloud Computing, Cybersecurity, Machine Learning, Deep Learning",High,35,59,Enterprise,High,2.52,No,3.04,Declining,Low,Medium,3.45
AIJ-102173,UX Designer,Energy,India,PhD,1,0.34,0.71,Yes,60520,"Docker, Data Visualization, Communication",Low,16,30,Medium,Moderate,2.34,Yes,4.14,Declining,Medium,Medium,2.03
AIJ-102150,Product Manager,Energy,Germany,PhD,2,0.73,0.87,Yes,172821,"Cloud Computing, Project Management, Azure, Deep Learning, Data Visualization",Medium,27,48,Enterprise,Moderate,2.02,Yes,4.45,Growing,High,High,1.18
AIJ-100520,Cloud Architect,Manufacturing,Japan,High School,9,0.81,0.27,Hybrid,100824,"Azure, Docker, Kubernetes",Medium,34,40,Startup,Low,4.22,Yes,3.81,Growing,High,High,0.33
AIJ-100235,Business Analyst,Manufacturing,Australia,Master,25,0.26,0.32,No,159388,"Communication, Cybersecurity, Azure, Excel, Python",Medium,19,52,Startup,Moderate,2.24,Yes,1.22,Stable,Low,High,1.19
AIJ-101955,Business Analyst,Technology,UK,Bachelor,17,0.07,0.98,Hybrid,144603,"Kubernetes, Leadership, AWS, Docker",Low,28,59,Startup,Low,3.07,Yes,3.17,Stable,Low,High,12.25
AIJ-100779,Software Developer,Finance,India,High School,10,0.49,0.92,No,50081,"Machine Learning, Cybersecurity, AWS, Docker",Medium,-8,46,Medium,Moderate,2.08,Yes,1.01,Stable,Medium,Medium,1.84
AIJ-100123,Teacher,Healthcare,Canada,Bachelor,21,0.92,0.75,Hybrid,170746,"TensorFlow, Docker, PyTorch, Communication, Python, Kubernetes",Medium,0,50,Enterprise,Low,3.69,No,4.87,Stable,High,High,0.81
AIJ-101839,Machine Learning Engineer,Manufacturing,UK,High School,5,0.44,0.46,Yes,155301,"Deep Learning, SQL, Data Visualization, Project Management, Cybersecurity, Python",High,41,54,Medium,High,3.86,No,2.85,Declining,Medium,High,1.02
AIJ-102081,Prompt Engineer,Government,India,High School,19,0.09,0.63,No,35143,"Data Visualization, Leadership, Communication, Kubernetes",High,41,59,Medium,Low,4.47,No,4.65,Growing,Low,Low,6.3
AIJ-100749,HR Specialist,Retail,Australia,Master,0,0.64,0.23,Hybrid,90154,"Azure, Communication, Project Management, Kubernetes",Low,-8,37,Medium,Low,3.19,No,1.19,Declining,Medium,Medium,0.35
AIJ-100612,UX Designer,Technology,Germany,Bachelor,21,0.63,0.31,Hybrid,149770,"PyTorch, Python, TensorFlow, Docker, Prompt Engineering, Data Visualization",Medium,8,56,Medium,Low,2.97,No,2.3,Growing,Medium,High,0.48
AIJ-101302,Cybersecurity Analyst,Technology,India,High School,12,0.39,0.67,Hybrid,103442,"Data Visualization, AWS, SQL",High,-1,48,Startup,Low,3.63,Yes,1.51,Declining,Medium,High,1.68
AIJ-102381,Robotics Engineer,Transportation,Pakistan,High School,21,0.45,0.92,No,191469,"Prompt Engineering, Kubernetes, PyTorch, Communication, Python, AWS",High,1,34,Startup,Low,2.2,No,4.26,Declining,Medium,High,2.0
AIJ-100164,AI Engineer,Energy,Singapore,PhD,17,0.92,0.67,Hybrid,175123,"Machine Learning, Excel, PyTorch",Medium,26,58,Startup,Moderate,2.9,No,4.61,Growing,High,High,0.72
AIJ-102987,UX Designer,Healthcare,India,Master,14,0.55,0.73,Hybrid,166973,"Kubernetes, Project Management, Docker, PyTorch, Cloud Computing, Excel",Medium,12,60,Enterprise,High,4.4,No,1.79,Declining,Medium,High,1.3
AIJ-102133,IoT Specialist,Transportation,Japan,PhD,21,0.16,0.56,Yes,180502,"Leadership, SQL, Communication",Low,28,48,Medium,Moderate,3.33,No,3.69,Growing,Low,High,3.29
AIJ-101822,Teacher,Transportation,Singapore,Master,5,0.61,0.8,Yes,191975,"Cybersecurity, Excel, SQL, PyTorch, Deep Learning",Low,31,32,Medium,Low,2.83,No,1.55,Stable,Medium,High,1.29
AIJ-101813,DevOps Engineer,Energy,Germany,Bachelor,8,0.62,0.24,Yes,57357,"Deep Learning, Project Management, Python, Prompt Engineering",Low,6,52,Startup,Low,3.12,Yes,2.02,Growing,Medium,Medium,0.38
